weight,E
1.0213449651328799,0.025
1.1222012229616605,0.075
2.097729409153809,0.125
2.6555919298028487,0.175
2.8171664673091135,0.225
2.005257020803992,0.275
1.5878159295873582,0.325
1.3624857140084263,0.375
1.237495940207496,0.425
1.1567548460676598,0.475
1.1010421358042632,0.525
1.0711639913747406,0.575
1.0534407792761562,0.625
1.0426752943440074,0.675
1.0330355395523312,0.725
1.0273692624778434,0.775
1.0246006612161593,0.825
1.0199969428987967,0.875
1.0175876644882498,0.925
1.0158059112586093,0.975
1.0148242801082354,1.025
1.0142143463910234,1.075
1.013581739544669,1.125
1.0137740142558722,1.175
1.0134122135610757,1.225
1.0135866898152648,1.275
1.014428506445943,1.325
1.013490553703054,1.375
1.0139062677500819,1.425
1.0164654032672793,1.475
1.014109738951221,1.525
1.0144381984044142,1.575
1.0149303154706781,1.625
1.0129500680403216,1.675
1.0124477734772368,1.725
1.012094852207485,1.775
1.0113663099545833,1.825
1.0109353102470344,1.875
1.0124576864320802,1.925
1.0098084668954033,1.975
1.0096228506515947,2.025
1.0092109410139698,2.075
1.009196562211567,2.125
1.0089182165191395,2.175
1.008545942411122,2.225
1.0062854724166486,2.275
1.0071594968910156,2.325
1.0061462247446884,2.375
1.0052206029698982,2.425
1.0056826569762882,2.475
1.0049729547372008,2.525
1.005444173284171,2.575
1.0046984775744168,2.625
1.0049640554466905,2.675
1.0043509788357623,2.725
1.0032098140130647,2.775
1.0051802229797424,2.825
1.003571083752179,2.875
1.0035534087493239,2.925
1.0039061832640477,2.975
1.0040428483560313,3.025
1.003700231146677,3.075
1.004268799183227,3.125
1.0029671240155387,3.175
1.0030077948966176,3.225
1.0041599957997427,3.275
1.0032037145599322,3.325
1.0037469908218302,3.375
1.0049141967463195,3.425
1.0032256839162035,3.475
1.0028545271855702,3.525
1.002581936532387,3.575
1.0042808015390594,3.625
1.0020087722217033,3.675
1.0026784705976195,3.725
1.002871460733925,3.775
1.0048966201713687,3.825
1.0037437478660733,3.875
1.0041262361521965,3.925
1.0030089262033828,3.975
1.0021734676271934,4.025
1.0024959272164802,4.075
1.003478286788043,4.125
1.002554479000872,4.175
1.0024789957239522,4.225
1.005189151804146,4.275
1.0031403152077374,4.325
1.0030786838185124,4.375
1.0053947880095464,4.425
1.0017934624037796,4.475
